,,,"Collection in progress by Jeremy Pressman (@djpressman, U of Connecticut) and Erica Chenoweth (@EricaChenoweth, U of Denver). ",,,,,,
,,,"With thanks to Rivera Sun, Sarah Syverson, & many others for assistance compiling sources.",,,,,,
,,,"To submit additional information, please use this form: https://goo.gl/forms/PmLax1SUfUnQ0ftd2",,,,,,
,,,,,,,,,
,State/Territory,Country,Estimate1 (low),Estimate2 (high),Estimate3,Not 1/21,Source1,Source2,Source3
"Bismarck, ND",ND,US,500,500,,,http://www.grandforksherald.com/news/4203619-larger-expected-nd-capitol-womens-march-calls-solidarity,http://www.inforum.com/news/4203619-larger-expected-nd-capitol-womens-march-calls-solidarity,
"Black Mountain, NC",NC,US,400,400,,,FB,,
"Bluff, UT",UT,US,48,48,,,onsite eyewitness with headcount via google form,,
"Bloomsburg, PA",PA,US,40,60,,,https://twitter.com/MzHokie/status/823054470728810496,https://twitter.com/t_l_d_a/status/823253795345993728,
"Boise, ID",ID,US,"5,000",5000,,,http://www.idahostatesman.com/news/local/article127913309.html,,
"Borrego Springs, CA",CA,US,140,150,,,onsite eyewitness who did headcount,,
"Boston, MA",MA,US,"175,000","175,000",,,http://whdh.com/news/175000-rally-on-boston-common-for-womens-march/,http://www.bostonglobe.com/metro/2017/01/21/thousands-protesters-expected-join-boston-women-march-saturday/uAWNwH9R5FHltkqyQNzeFL/story.html,
"Bozeman, MT",MT,US,13,13,,,https://twitter.com/MadamHerpadurp/status/823031787211235328,onsite eyewitness vis google form with photo + headcount,
"Breen, CO",CO,US,1,1,,,via email (JP),,
"Brighton, MI",MI,US,300,300,,,Livingston Daily Press & Argus,,
"Brattleboro, VT",VT,US,250,250,,,FB,,
"Brookings, OR",OR,US,250,300,,,FB,,
"Brownsville, TX",TX,US,300,390,,,http://www.brownsvilleherald.com/news/local/article_f670f8cc-e037-11e6-b9b5-9398a778b088.html,FB,
"Brunswick, ME",ME,US,300,300,,,Press Herald,,
"Buffalo, NY",NY,US,"2,500","3,000",,,http://www.wgrz.com/mb/news/local/hundreds-gather-in-buffalo-for-womens-march/389611887,http://www.wgrz.com/mb/news/local/hundreds-gather-in-buffalo-for-womens-march/389611887,
"Burbank, CA",CA,US,300,300,,,myburbank.com,,
"Burns, OR",OR,US,20,20,,,FB,,
"Burnsville, NC",NC,US,,,,,,,
Cambridge,MN,US,22,22,,,FB,,
"Canton, NY",NY,US,135,135,,,https://twitter.com/matt_carotenuto/status/823121233659174912,,
"Cape Henlopen, DE",DE,US,250,250,,,http://www.capegazette.com/article/peaceful-march-along-lewes-beach-takes-stand-women’s-rights/124227,http://www.capegazette.com/article/peaceful-march-along-lewes-beach-takes-stand-women’s-rights/124227,
"Carbondale, CO",CO,US,200,650,,,http://www.postindependent.com/priority/main-carousel/women-march-in-colorado-dc-around-world-to-resist-trump/,FB,
"Carbondale, IL",IL,US,"1,000","1,000",,,http://thesouthern.com/news/local/communities/carbondale/hundreds-gather-in-carbondale-to-march-for-human-rights/article_616ca5a9-dd07-57da-9a8e-ee3a9317bd05.html,,
"Carmel, CA",CA,US,,,,,,,
"Casper, WY",WY,US,700,"1,000",,,https://pitchengine.com/oilcity/2017/01/21/caspers-womens-march--from-above/002519172678172300726,https://pitchengine.com/oilcity/2017/01/21/caspers-womens-march--from-above/002519172678172300726,
"Cedaredge, CO",CO,US,,,,,,,
"Champaign, IL",IL,US,"5,000","5,800",,,http://www.news-gazette.com/news/local/2017-01-21/womens-march-champaign.html,https://twitter.com/DucoLaw/status/823245457472290816,
"Charleston, SC",SC,US,"2,000","2,000",,,http://www.postandcourier.com/news/unity-activism-and-empowerment-at-charleston-women-s-march-where/article_34b81c38-dffb-11e6-9c2e-f30b0dc420c4.html,,
"Charleston, WV",WV,US,"2,800","3,000",,,http://www.wvgazettemail.com/news-politics/20170121/nearly-3000-march-for-women-at-wv-capitol,http://www.wvgazettemail.com/news-politics/20170121/nearly-3000-march-for-women-at-wv-capitol,
"Charlotte, NC",NC,US,"10,000","10,000",,,http://www.charlotteobserver.com/news/local/article127914684.html,,
"Charlottesville, VA",VA,US,"2,500","2,500",,,FB,,
"Chattanooga, TN",TN,US,"1,000","3,000",,,http://www.timesfreepress.com/news/local/story/2017/jan/21/women-march-chattanooga-protest-trump-election/408743/,FB,
"Chelan, WA",WA,US,400,470,,,local media reported via Google form,FB,
"Chesapeake Bay, MD",MD,US,1,1,,,FB,,
"Cheyenne, WY",WY,US,"1,500","2,000",,,http://kgab.com/1500-2000-turn-out-for-cheyenne-womens-march/,,
"Chicago, IL",IL,US,"250,000","250,000",,,http://www.chicagotribune.com/news/ct-womens-march-chicago-0122-20170121-story.html,,
"Chico, CA",CA,US,"1,000","3,000",,,FB,https://twitter.com/pamboy712/status/823196047497248769,Chico Enterprise Record
"Chillicothe, OH",OH,US,"1,000","1,000",,,https://twitter.com/JeffTClinton/status/822999960765530113,,
"Cincinnati, OH",OH,US,"5,000","10,000",,,http://www.wlwt.com/article/thousands-fill-washington-park-as-part-of-nationwide-equal-rights-movement/8625720,FB,
